district,rooms,size,level,max_levels,price,lat,lng
Yunusobod,3,57.0,4,4,52000,41.3714709,69.2810486
Yakkasaroy,2,52.0,4,5,56000,41.2911155,69.2611035
Chilonzor,2,42.0,4,4,37000,41.2807837,69.223683
Chilonzor,3,65.0,1,4,49500,41.2901628,69.1968618
Chilonzor,3,70.0,3,5,55000,41.3001561,69.2108312
Chilonzor,1,28.0,1,4,25500,41.2857552,69.2117625
Chilonzor,1,30.0,2,4,21200,41.274633,69.200587
Yakkasaroy,2,32.0,5,5,20000,41.2820131,69.2431373
Uchtepa,2,51.0,3,4,26200,41.2924208,69.1737654
Chilonzor,1,30.0,1,4,22200,41.2894422,69.2058023
Uchtepa,2,30.0,2,5,24200,41.2962523,69.1909015
Chilonzor,3,67.0,2,5,30200,41.259418,69.1804708
Chilonzor,1,30.0,2,4,21200,41.271386,69.1961168
Chilonzor,1,30.0,2,4,21200,41.274633,69.200587
Chilonzor,1,30.0,2,4,21200,41.2710841,69.1849411
Chilonzor,1,35.0,1,5,22500,41.2710841,69.1849411
Chilonzor,1,43.0,4,4,22500,41.259418,69.1804708
Chilonzor,2,51.0,2,4,21200,41.2948119,69.2087824
Mirzo Ulugbek,3,65.0,1,4,32500,41.3576548,69.3675816
Chilonzor,2,51.0,2,4,22200,41.271386,69.1961168
Chilonzor,2,51.0,2,4,24200,41.2901628,69.1968618
Yakkasaroy,4,90.0,5,5,45000,41.2673079,69.2415634
Chilonzor,4,80.0,3,4,56000,41.2769954,69.1962495
Yashnobod,2,70.0,5,5,47000,41.3052221,69.2898134
Mirzo Ulugbek,3,69.0,1,4,49900,41.3619703,69.3875774
Mirobod,3,80.0,2,4,76000,41.3035042,69.2680561
Uchtepa,3,96.0,3,4,65000,41.2902787,69.1839655
Uchtepa,4,76.0,4,4,47500,41.2770171,69.1909015
Uchtepa,2,45.0,4,5,30000,41.290141,69.1871763
Chilonzor,1,27.0,3,4,32000,41.2916859,69.2177228
Uchtepa,2,65.0,3,9,44000,41.2978921,69.1804708
Chilonzor,2,64.0,3,4,56500,41.2807837,69.223683
Chilonzor,1,42.0,5,9,35000,41.2948119,69.2087824
Chilonzor,1,26.0,2,4,23500,41.2948119,69.2087824
Uchtepa,4,76.0,5,5,60500,41.2771751,69.1789807
Chilonzor,3,80.0,2,4,68000,41.2657122,69.1819609
Chilonzor,3,72.0,5,5,41500,41.2985011,69.20291280000001
Uchtepa,4,100.0,3,12,55000,41.2978921,69.1804708
Uchtepa,3,65.0,4,4,44000,41.2770171,69.1909015
Uchtepa,4,80.0,3,4,52500,41.2770171,69.1909015
Uchtepa,3,72.0,6,9,43000,41.2978921,69.1804708
Mirobod,2,65.0,1,4,80000,41.2991561,69.2785087
Yakkasaroy,2,63.0,1,5,42000,41.2673079,69.2415634
Yakkasaroy,2,48.0,5,9,23000,41.2673079,69.2415634
Yunusobod,3,70.0,3,4,47000,41.3707855,69.3190425
Yakkasaroy,3,102.0,7,12,88784,41.2818558,69.2552666
Uchtepa,4,78.0,2,4,65000,41.2978921,69.1804708
Chilonzor,4,100.0,1,4,97000,41.259418,69.1804708
Chilonzor,1,34.0,1,4,28500,41.2710841,69.1849411
Chilonzor,2,42.0,2,4,34500,41.2829494,69.1968618
Uchtepa,4,80.0,4,5,51000,41.2953086,69.182706
Uchtepa,3,90.0,1,12,51000,41.2978921,69.1804708
Chilonzor,2,45.0,2,4,48000,41.2807837,69.223683
Chilonzor,3,70.0,5,5,40000,41.260048,69.162198
Chilonzor,4,96.0,7,9,67000,41.2798237,69.2058023
Uchtepa,4,80.0,4,5,68000,41.2797359,69.1670599
Uchtepa,2,63.0,1,4,40500,41.2814223,69.1760005
Uchtepa,2,56.0,4,5,54000,41.2867929,69.1789807
Uchtepa,2,52.0,1,4,36000,41.2879715,69.1692951
Uchtepa,3,98.0,2,4,68000,41.281265,69.1879213
Chilonzor,3,96.0,9,9,63000,41.3068527,69.2534409
Shayhontohur,4,93.0,4,4,63500,41.3275402,69.2102725
Shayhontohur,2,60.0,9,9,49500,41.3365221,69.2824454
Chilonzor,5,82.0,4,4,70000,41.260048,69.162198
Uchtepa,5,120.0,9,9,52000,41.2867929,69.1789807
Uchtepa,4,110.0,3,3,91000,41.2953086,69.182706
Chilonzor,4,95.0,2,4,83000,41.2847707,69.2288981
Uchtepa,2,56.0,1,4,40500,41.265874,69.223683
Chilonzor,3,68.0,3,4,48000,41.2885649,69.2290098
Olmzor,2,57.0,3,4,42000,41.3333453,69.2475235
Yashnobod,1,46.0,11,11,19765,41.286283,69.3235123
Chilonzor,2,45.0,4,4,34500,41.2807837,69.223683
Yunusobod,2,40.0,1,9,40000,41.3804352,69.2840285
Mirzo Ulugbek,3,95.0,5,5,50000,41.3427418,69.3875774
Yunusobod,2,53.0,1,9,68000,41.3197131,69.2773236
Olmzor,2,72.0,4,9,41500,41.3376966,69.243806
Mirzo Ulugbek,3,65.0,4,5,41500,41.3215876,69.3230626
Yunusobod,4,82.0,1,4,86000,41.3197131,69.2773236
Chilonzor,1,42.0,3,9,25500,41.259418,69.1804708
Chilonzor,2,54.0,4,4,31500,41.259418,69.1804708
Chilonzor,1,42.0,1,4,26500,41.259418,69.1804708
Uchtepa,1,20.0,3,9,14500,41.2978921,69.1804708
Chilonzor,2,45.0,4,4,45000,41.2857552,69.2117625
Chilonzor,1,46.0,2,5,30000,41.259418,69.1804708
Chilonzor,2,50.0,2,4,34500,41.259418,69.1804708
Chilonzor,1,36.0,2,4,27000,41.259418,69.1804708
Uchtepa,4,80.0,6,9,59500,41.281265,69.1879213
Uchtepa,3,72.0,3,9,48000,41.3239274,69.2143264
Uchtepa,4,78.0,5,5,47299,41.2797359,69.1670599
Chilonzor,2,46.0,4,5,37000,41.260048,69.162198
Chilonzor,2,60.0,2,4,38000,41.2894422,69.2058023
Olmzor,2,58.0,5,9,29500,41.3638683,69.2187028
Chilonzor,2,70.0,2,7,56000,41.2829494,69.1968618
Yakkasaroy,2,68.0,6,9,45000,41.2788969,69.2489174
Uchtepa,4,100.0,3,5,61500,41.2978921,69.1804708
Chilonzor,3,68.0,5,5,46500,41.2885649,69.2290098
Uchtepa,3,70.0,4,12,51000,41.2978921,69.1804708
Chilonzor,3,90.0,5,9,58400,41.260048,69.162198
Chilonzor,3,60.0,5,5,47000,41.260048,69.162198
Uchtepa,4,80.0,5,5,52500,41.2978921,69.1804708
Uchtepa,3,74.0,3,5,50000,41.2978921,69.1804708 
Chilonzor,2,48.0,2,5,41500,41.2847707,69.2288981
Chilonzor,4,94.0,9,9,45000,41.260048,69.162198
Uchtepa,3,65.0,4,9,47500,41.2814223,69.1760005
Chilonzor,4,85.0,3,4,52500,41.259418,69.1804708
Uchtepa,1,42.0,5,5,26000,41.2814223,69.1760005
Chilonzor,4,110.0,3,4,105000,41.2798237,69.2058023
Uchtepa,3,70.0,4,4,42000,41.2729489,69.1916465
Chilonzor,3,68.0,2,5,53500,41.2894422,69.2058023
Yakkasaroy,2,48.0,5,9,23000,41.2673079,69.2415634
Yashnobod,1,20.0,3,3,12500,41.3080076,69.3078679
Mirobod,3,110.0,4,7,107000,41.2991561,69.2785087
Chilonzor,2,46.0,3,4,35000,41.2710841,69.1849411
Chilonzor,4,125.0,5,5,70000,41.2798237,69.2058023
Mirzo Ulugbek,2,72.0,18,19,55000,41.3180348,69.2942247
Mirzo Ulugbek,2,64.67,7,9,39414,41.3292204,69.3473509
Yunusobod,2,70.0,4,9,60000,41.4153867,69.4292923
Yunusobod,1,50.0,7,9,37000,41.3245206,69.2773236
Mirzo Ulugbek,2,51.0,2,4,49000,41.319567,69.3246635
Mirzo Ulugbek,1,22.0,1,2,18000,41.3576548,69.3675816
Chilonzor,2,54.0,1,4,42500,41.2916859,69.2177228
Chilonzor,1,30.0,3,5,34500,41.2916859,69.2177228
Chilonzor,1,42.0,5,9,37000,41.2710841,69.1849411
Yakkasaroy,3,70.0,2,4,70000,41.296195,69.262388
Shayhontohur,3,68.0,2,4,45800,41.3162377,69.2312263
Chilonzor,1,30.0,4,4,24000,41.2948119,69.2087824
Uchtepa,1,52.0,1,4,58000,41.2962523,69.1909015
Chilonzor,4,72.0,4,4,55500,41.274633,69.200587
Chilonzor,4,76.0,2,4,68000,41.274633,69.200587
Uchtepa,2,48.0,4,4,31000,41.2814223,69.1760005
Chilonzor,2,66.0,3,9,47000,41.260048,69.162198
Chilonzor,3,60.0,3,5,47000,41.2798237,69.2058023
Chilonzor,2,37.0,1,4,41000,41.2857552,69.2117625
Mirzo Ulugbek,1,40.0,3,4,24000,41.3392308,69.3389519
Yunusobod,2,61.0,1,4,55000,41.3700057,69.2892434
Chilonzor,1,32.0,2,4,28500,41.2837307,69.2169777
Chilonzor,3,65.0,4,4,42000,41.274633,69.200587
Uchtepa,3,66.0,2,5,67000,41.2902787,69.1839655
Chilonzor,3,70.0,4,4,46500,41.2916859,69.2177228
Chilonzor,3,66.0,4,4,50500,41.2773103,69.2152083
Uchtepa,3,65.0,1,4,40000,41.2770171,69.1909015
Yashnobod,1,37.0,5,8,13071,41.2785565,69.3415733
Mirzo Ulugbek,2,69.65,4,9,45188,41.3292204,69.3473509
Uchtepa,4,88.0,4,5,53000,41.2770171,69.1909015
Yakkasaroy,1,38.0,2,5,25600,41.2673079,69.2415634
Mirobod,2,61.0,6,9,52000,41.295316,69.275364
Mirzo Ulugbek,2,45.0,3,7,44000,41.3462538,69.3323894
Sergeli,3,69.0,2,9,40000,41.2202309,69.2251673
Mirzo Ulugbek,2,55.13,5,9,35226,41.3292204,69.3473509
Chilonzor,3,67.0,4,4,54000,41.2894422,69.2058023
Shayhontohur,1,38.0,5,5,22500,41.3268984,69.1952565
Mirzo Ulugbek,2,67.0,2,4,36500,41.3375577,69.3726789
Yakkasaroy,2,54.0,4,9,40000,41.2892951,69.2582738
Chilonzor,2,58.0,1,9,35000,41.259418,69.1804708
Mirobod,4,100.0,5,8,142000,41.296644,69.275878
Chilonzor,4,90.0,4,5,52000,41.2885649,69.2290098
Olmzor,3,91.0,3,3,85000,41.3645355,69.2281531
Shayhontohur,4,111.0,7,8,110000,41.327974,69.2611824
Sergeli,2,54.0,6,7,36000,41.2304214,69.2117625
Yashnobod,3,69.0,5,5,52000,41.2994958,69.2400734
Yunusobod,5,107.0,5,5,50000,41.3709551,69.307123
Mirzo Ulugbek,3,80.0,2,5,55000,41.3539037,69.3851063
Yunusobod,2,63.0,5,9,42000,41.3653679,69.2773236
Mirobod,3,74.0,5,16,69000,41.3021647,69.2687
Yashnobod,2,58.0,5,5,28900,41.294821,69.3659745
Mirzo Ulugbek,2,62.0,9,9,34000,41.3146381,69.3228615
Mirzo Ulugbek,3,107.0,2,8,85000,41.3466485,69.3328133
Olmzor,1,40.41,2,4,25000,41.3488728,69.1689332
Chilonzor,2,54.0,2,4,39000,41.2828581,69.2125566
Mirzo Ulugbek,1,40.0,1,4,60000,41.3104865,69.2922234
Mirzo Ulugbek,2,50.0,1,5,36500,41.3357758,69.34359
Yashnobod,3,75.0,5,9,42000,41.3123276,69.3159192
Mirzo Ulugbek,3,84.0,7,8,85000,41.3133669,69.3235746
Mirzo Ulugbek,3,117.0,2,5,125000,41.3203273,69.2993794
Mirzo Ulugbek,3,70.0,5,5,37000,41.319567,69.3246635
Mirzo Ulugbek,1,47.0,2,9,42000,41.3209122,69.303727
Chilonzor,2,56.0,2,5,36000,41.271386,69.1961168
Chilonzor,1,42.0,3,9,28000,41.274633,69.200587
Chilonzor,2,60.0,5,9,34000,41.259418,69.1804708
Chilonzor,1,32.0,2,5,28500,41.2857552,69.2117625
Chilonzor,1,42.0,2,5,28500,41.259418,69.1804708
Chilonzor,2,60.0,2,9,34500,41.259418,69.1804708
Chilonzor,2,54.0,1,4,34500,41.259418,69.1804708
Chilonzor,1,42.0,1,5,25500,41.2901628,69.1968618
Chilonzor,2,60.0,2,9,43500,41.259418,69.1804708
Mirobod,2,72.0,7,9,63000,41.3051824,69.2638823
Yashnobod,3,80.0,1,4,39999,41.2922516,69.3419071
Chilonzor,1,33.0,2,4,24500,41.2780874,69.2060703
Yunusobod,2,61.0,3,5,41000,41.3693331,69.3101022
Mirzo Ulugbek,4,187.0,2,5,210000,41.3104865,69.2922234
Mirzo Ulugbek,2,63.0,5,5,36000,41.3375577,69.3726789
Olmzor,2,60.0,5,5,34000,41.3333453,69.2475235
Chilonzor,1,29.0,2,4,23000,41.2830467,69.2222748
Mirzo Ulugbek,2,63.0,5,5,36000,41.3318205,69.3644846
Uchtepa,2,48.0,4,5,28500,41.2771751,69.1789807
Chilonzor,2,45.0,4,4,47000,41.262123,69.1647666
Olmzor,4,122.0,5,5,95000,41.3390184,69.2261213
Yunusobod,1,42.0,2,4,44000,41.3245206,69.2773236
Mirzo Ulugbek,2,50.0,1,4,45000,41.3137673,69.2910424
Mirzo Ulugbek,5,100.0,4,4,48000,41.3550649,69.3585936
Mirzo Ulugbek,2,60.0,4,4,32000,41.314662,69.293391
Yakkasaroy,2,50.0,2,4,47000,41.2911414,69.2601933
Mirzo Ulugbek,3,78.0,5,9,70500,41.3200874,69.3013967
Yakkasaroy,4,164.0,5,6,170000,41.2765672,69.2460335
Mirzo Ulugbek,2,60.0,3,5,30500,41.3427418,69.3875774
Chilonzor,1,42.0,2,4,26000,41.259418,69.1804708
Chilonzor,3,70.0,4,4,37500,41.2857552,69.2117625
Chilonzor,1,35.0,1,5,26500,41.2829101,69.2116463
Chilonzor,2,47.0,2,4,32000,41.2948119,69.2087824
Chilonzor,1,36.0,2,5,26500,41.259418,69.1804708
Chilonzor,2,50.0,2,5,34500,41.2829494,69.1968618
Chilonzor,2,52.0,2,4,36500,41.2857552,69.2117625
Yashnobod,2,46.0,2,4,24500,41.2535107,69.3437258
Chilonzor,3,92.0,3,9,42500,41.2894422,69.2058023
Chilonzor,3,70.0,1,4,46000,41.259418,69.1804708
Yunusobod,3,70.0,2,4,38500,41.3692799,69.2981832
Mirzo Ulugbek,2,60.0,7,8,36000,41.31512,69.3234929
Mirzo Ulugbek,2,55.0,3,5,35000,41.319567,69.3246635
Mirzo Ulugbek,2,63.0,4,9,55500,41.31512,69.3234929
Yakkasaroy,2,89.0,4,12,81772,41.2818558,69.2552666
Yakkasaroy,1,55.0,1,12,50533,41.2818558,69.2552666
Mirzo Ulugbek,3,100.0,2,6,119000,41.3292204,69.3473509
Mirzo Ulugbek,4,208.0,2,3,93000,41.3475495,69.3875774
Chilonzor,1,35.0,1,4,23800,41.2770171,69.1909015
Chilonzor,2,44.0,3,4,32900,41.2948119,69.2087824
Yangihayot,2,61.0,3,7,36000,41.210633,69.2281531
Yashnobod,4,100.0,2,9,65000,41.286283,69.3235123
Chilonzor,1,35.0,1,4,29800,41.2894422,69.2058023
Mirzo Ulugbek,4,86.0,3,5,63000,41.3351692,69.3602729
